P,Player,Week,Team,Opp,Opp Rank,FDSal,,DK Salary,FD Points,DK Points,DK Multiplier
WR,Chris Godwin,2,TB,ATL,17,8000,6600,6.6,14.2,16.2,2.5
WR,Diontae Johnson,5,PIT,DEN,13,7000,6500,6.5,14.2,15.2,2.3
WR,CeeDee Lamb,8,DAL,MIN,19,7800,7800,7.8,14.2,20.2,2.6
WR,Mack Hollins,11,MIA,NYJ,22,5200,3000,3,14.2,15.2,5.1
WR,Nick Westbrook-Ikhine,11,TEN,HOU,21,5300,3300,3.3,14.2,20.7,6.3
WR,Marquez Callaway,15,NO,TB,14,5300,4200,4.2,14.2,20.2,4.8
WR,Chase Claypool,3,PIT,CIN,20,5800,5800,5.8,14.1,18.6,3.2
WR,Diontae Johnson,6,PIT,SEA,26,7400,6700,6.7,14.1,18.6,2.8
WR,Hunter Renfrow,10,LV,KC,16,6000,5100,5.1,14.1,17.6,3.5
WR,Brandin Cooks,14,HOU,SEA,6,6500,5700,5.7,14.1,21.1,3.7
WR,Stefon Diggs,2,BUF,MIA,5,7500,7700,7.7,14,16,2.1
WR,Adam Thielen,3,MIN,SEA,13,7600,6700,6.7,14,17,2.5
WR,Laviska Shenault Jr.,4,JAX,CIN,19,5500,4200,4.2,14,17,4.0
WR,Kendrick Bourne,6,NE,DAL,27,5200,3800,3.8,14,14.5,3.8
WR,Diontae Johnson,12,PIT,CIN,8,7100,6600,6.6,14,18.5,2.8
WR,Michael Pittman Jr.,13,IND,HOU,21,6800,5700,5.7,14,17,3.0
WR,Christian Kirk,3,ARI,JAX,21,5700,5400,5.4,13.9,20.4,3.8
WR,Jakobi Meyers,3,NE,NO,14,5300,5000,5,13.9,18.4,3.7
WR,Chris Conley,5,HOU,NE,4,4700,3000,3,13.9,16.4,5.5
WR,Robert Woods,9,LAR,TEN,32,7100,6400,6.4,13.9,17.4,2.7
WR,Jamal Agnew,10,JAX,IND,29,5300,4500,4.5,13.9,13.9,3.1
